id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
JOMAD_leb-mlaih_alaqi,العلاقي,Alaqi,alaqi,JOMAD_leb-mlaih_alaqi,31.624,35.671
JOMAD_leb-mlaih_dalielet-el-hamaydeh,دليلة الحمايدة,Dalielet El-Hamaydeh,dalielet-el-hamaydeh,JOMAD_leb-mlaih_dalielet-el-hamaydeh,31.624,35.671
JOMAD_leb-mlaih_gadeer,الغدير,Gadeer,gadeer,JOMAD_leb-mlaih_gadeer,31.624,35.671
JOMAD_leb-mlaih_hayyadh,الحياض,Hayyadh,hayyadh,JOMAD_leb-mlaih_hayyadh,31.624,35.671
JOMAD_leb-mlaih_hiedan,الهيدان,Hiedan,hiedan,JOMAD_leb-mlaih_hiedan,31.624,35.671
JOMAD_leb-mlaih_kaldiyyeh,الخالدية,Kaldiyyeh,kaldiyyeh,JOMAD_leb-mlaih_kaldiyyeh,31.624,35.671
JOMAD_leb-mlaih_khaldeyyeh-abu-ezqal,الخالدية (ابو ازقل),Khaldeyyeh (Abu Ezqal),khaldeyyeh-abu-ezqal,JOMAD_leb-mlaih_khaldeyyeh-abu-ezqal,31.624,35.671
JOMAD_leb-mlaih_leb,لب,Leb,leb,JOMAD_leb-mlaih_leb,31.624,35.671
JOMAD_leb-mlaih_lusen-rabt,اللسن والربط,Lusen & Rabt,lusen-rabt,JOMAD_leb-mlaih_lusen-rabt,31.624,35.671
JOMAD_leb-mlaih_mlaih,مليح,Mlaih,mlaih,JOMAD_leb-mlaih_mlaih,31.624,35.671
JOMAD_leb-mlaih_munsaf-mekherah,المنسف(المخرعه),Munsaf (Mekher'ah),munsaf-mekherah,JOMAD_leb-mlaih_munsaf-mekherah,31.624,35.671
JOMAD_leb-mlaih_nozhet-el-waleh,نزهة الوالة,Nozhet El-Waleh,nozhet-el-waleh,JOMAD_leb-mlaih_nozhet-el-waleh,31.624,35.671
JOMAD_leb-mlaih_rashdeia,الراشدية,Rashdeia,rashdeia,JOMAD_leb-mlaih_rashdeia,31.624,35.671
JOMAD_leb-mlaih_safa,الصفا,Safa,safa,JOMAD_leb-mlaih_safa,31.624,35.671
JOMAD_leb-mlaih_waleh,الواله,Waleh,waleh,JOMAD_leb-mlaih_waleh,31.624,35.671
